date,month#,DofM,year,month,mmm-yy,week,quarter,day
6/18/2017,6,18,2017,Jun,Jun-17,25,Q2,Sun
6/19/2017,6,19,2017,Jun,Jun-17,25,Q2,Mon
6/20/2017,6,20,2017,Jun,Jun-17,25,Q2,Tue
6/21/2017,6,21,2017,Jun,Jun-17,25,Q2,Wed
6/22/2017,6,22,2017,Jun,Jun-17,25,Q2,Thu
6/23/2017,6,23,2017,Jun,Jun-17,25,Q2,Fri
6/24/2017,6,24,2017,Jun,Jun-17,25,Q2,Sat
6/25/2017,6,25,2017,Jun,Jun-17,26,Q2,Sun
6/26/2017,6,26,2017,Jun,Jun-17,26,Q2,Mon
6/27/2017,6,27,2017,Jun,Jun-17,26,Q2,Tue
6/28/2017,6,28,2017,Jun,Jun-17,26,Q2,Wed
6/29/2017,6,29,2017,Jun,Jun-17,26,Q2,Thu
6/30/2017,6,30,2017,Jun,Jun-17,26,Q2,Fri
7/1/2017,7,1,2017,Jul,Jul-17,26,Q3,Sat
7/2/2017,7,2,2017,Jul,Jul-17,27,Q3,Sun
7/3/2017,7,3,2017,Jul,Jul-17,27,Q3,Mon
7/4/2017,7,4,2017,Jul,Jul-17,27,Q3,Tue
7/5/2017,7,5,2017,Jul,Jul-17,27,Q3,Wed
7/6/2017,7,6,2017,Jul,Jul-17,27,Q3,Thu
7/7/2017,7,7,2017,Jul,Jul-17,27,Q3,Fri
7/8/2017,7,8,2017,Jul,Jul-17,27,Q3,Sat
7/9/2017,7,9,2017,Jul,Jul-17,28,Q3,Sun
7/10/2017,7,10,2017,Jul,Jul-17,28,Q3,Mon
7/11/2017,7,11,2017,Jul,Jul-17,28,Q3,Tue
7/12/2017,7,12,2017,Jul,Jul-17,28,Q3,Wed
7/13/2017,7,13,2017,Jul,Jul-17,28,Q3,Thu
7/14/2017,7,14,2017,Jul,Jul-17,28,Q3,Fri
7/15/2017,7,15,2017,Jul,Jul-17,28,Q3,Sat
7/16/2017,7,16,2017,Jul,Jul-17,29,Q3,Sun
