date,month#,DofM,day,week,month,mmm-yy,quarter,year
5/18/2017,5,18,Thu,20,May,17-May,Q2,2017
5/19/2017,5,19,Fri,20,May,17-May,Q2,2017
5/20/2017,5,20,Sat,20,May,17-May,Q2,2017
5/21/2017,5,21,Sun,21,May,17-May,Q2,2017
5/22/2017,5,22,Mon,21,May,17-May,Q2,2017
5/23/2017,5,23,Tue,21,May,17-May,Q2,2017
5/24/2017,5,24,Wed,21,May,17-May,Q2,2017
5/25/2017,5,25,Thu,21,May,17-May,Q2,2017
5/26/2017,5,26,Fri,21,May,17-May,Q2,2017
5/27/2017,5,27,Sat,21,May,17-May,Q2,2017
5/28/2017,5,28,Sun,22,May,17-May,Q2,2017
5/29/2017,5,29,Mon,22,May,17-May,Q2,2017
5/30/2017,5,30,Tue,22,May,17-May,Q2,2017
5/31/2017,5,31,Wed,22,May,17-May,Q2,2017
6/1/2017,6,1,Thu,22,Jun,17-Jun,Q2,2017
6/2/2017,6,2,Fri,22,Jun,17-Jun,Q2,2017
6/3/2017,6,3,Sat,22,Jun,17-Jun,Q2,2017
6/4/2017,6,4,Sun,23,Jun,17-Jun,Q2,2017
6/5/2017,6,5,Mon,23,Jun,17-Jun,Q2,2017
6/6/2017,6,6,Tue,23,Jun,17-Jun,Q2,2017
6/7/2017,6,7,Wed,23,Jun,17-Jun,Q2,2017
6/8/2017,6,8,Thu,23,Jun,17-Jun,Q2,2017
6/9/2017,6,9,Fri,23,Jun,17-Jun,Q2,2017
6/10/2017,6,10,Sat,23,Jun,17-Jun,Q2,2017
6/11/2017,6,11,Sun,24,Jun,17-Jun,Q2,2017
6/12/2017,6,12,Mon,24,Jun,17-Jun,Q2,2017
6/13/2017,6,13,Tue,24,Jun,17-Jun,Q2,2017
6/14/2017,6,14,Wed,24,Jun,17-Jun,Q2,2017
6/15/2017,6,15,Thu,24,Jun,17-Jun,Q2,2017
6/16/2017,6,16,Fri,24,Jun,17-Jun,Q2,2017
6/17/2017,6,17,Sat,24,Jun,17-Jun,Q2,2017
6/18/2017,6,18,Sun,25,Jun,17-Jun,Q2,2017
6/19/2017,6,19,Mon,25,Jun,17-Jun,Q2,2017
6/20/2017,6,20,Tue,25,Jun,17-Jun,Q2,2017
6/21/2017,6,21,Wed,25,Jun,17-Jun,Q2,2017
6/22/2017,6,22,Thu,25,Jun,17-Jun,Q2,2017
6/23/2017,6,23,Fri,25,Jun,17-Jun,Q2,2017
6/24/2017,6,24,Sat,25,Jun,17-Jun,Q2,2017
6/25/2017,6,25,Sun,26,Jun,17-Jun,Q2,2017
6/26/2017,6,26,Mon,26,Jun,17-Jun,Q2,2017
6/27/2017,6,27,Tue,26,Jun,17-Jun,Q2,2017
6/28/2017,6,28,Wed,26,Jun,17-Jun,Q2,2017
6/29/2017,6,29,Thu,26,Jun,17-Jun,Q2,2017
6/30/2017,6,30,Fri,26,Jun,17-Jun,Q2,2017
7/1/2017,7,1,Sat,26,Jul,17-Jul,Q3,2017
7/2/2017,7,2,Sun,27,Jul,17-Jul,Q3,2017
7/3/2017,7,3,Mon,27,Jul,17-Jul,Q3,2017
7/4/2017,7,4,Tue,27,Jul,17-Jul,Q3,2017
7/5/2017,7,5,Wed,27,Jul,17-Jul,Q3,2017
7/6/2017,7,6,Thu,27,Jul,17-Jul,Q3,2017
7/7/2017,7,7,Fri,27,Jul,17-Jul,Q3,2017
7/8/2017,7,8,Sat,27,Jul,17-Jul,Q3,2017
7/9/2017,7,9,Sun,28,Jul,17-Jul,Q3,2017
7/10/2017,7,10,Mon,28,Jul,17-Jul,Q3,2017
7/11/2017,7,11,Tue,28,Jul,17-Jul,Q3,2017
7/12/2017,7,12,Wed,28,Jul,17-Jul,Q3,2017
7/13/2017,7,13,Thu,28,Jul,17-Jul,Q3,2017
7/14/2017,7,14,Fri,28,Jul,17-Jul,Q3,2017
7/15/2017,7,15,Sat,28,Jul,17-Jul,Q3,2017
7/16/2017,7,16,Sun,29,Jul,17-Jul,Q3,2017
7/17/2017,7,17,Mon,29,Jul,17-Jul,Q3,2017
7/18/2017,7,18,Tue,29,Jul,17-Jul,Q3,2017
7/19/2017,7,19,Wed,29,Jul,17-Jul,Q3,2017
7/20/2017,7,20,Thu,29,Jul,17-Jul,Q3,2017
7/21/2017,7,21,Fri,29,Jul,17-Jul,Q3,2017
7/22/2017,7,22,Sat,29,Jul,17-Jul,Q3,2017
7/23/2017,7,23,Sun,30,Jul,17-Jul,Q3,2017
7/24/2017,7,24,Mon,30,Jul,17-Jul,Q3,2017
7/25/2017,7,25,Tue,30,Jul,17-Jul,Q3,2017
7/26/2017,7,26,Wed,30,Jul,17-Jul,Q3,2017
7/27/2017,7,27,Thu,30,Jul,17-Jul,Q3,2017
7/28/2017,7,28,Fri,30,Jul,17-Jul,Q3,2017
7/29/2017,7,29,Sat,30,Jul,17-Jul,Q3,2017
7/30/2017,7,30,Sun,31,Jul,17-Jul,Q3,2017
7/31/2017,7,31,Mon,31,Jul,17-Jul,Q3,2017
8/1/2017,8,1,Tue,31,Aug,17-Aug,Q3,2017
8/2/2017,8,2,Wed,31,Aug,17-Aug,Q3,2017
8/3/2017,8,3,Thu,31,Aug,17-Aug,Q3,2017
8/4/2017,8,4,Fri,31,Aug,17-Aug,Q3,2017
8/5/2017,8,5,Sat,31,Aug,17-Aug,Q3,2017
8/6/2017,8,6,Sun,32,Aug,17-Aug,Q3,2017
8/7/2017,8,7,Mon,32,Aug,17-Aug,Q3,2017
8/8/2017,8,8,Tue,32,Aug,17-Aug,Q3,2017
8/9/2017,8,9,Wed,32,Aug,17-Aug,Q3,2017
8/10/2017,8,10,Thu,32,Aug,17-Aug,Q3,2017
8/11/2017,8,11,Fri,32,Aug,17-Aug,Q3,2017
8/12/2017,8,12,Sat,32,Aug,17-Aug,Q3,2017
8/13/2017,8,13,Sun,33,Aug,17-Aug,Q3,2017
8/14/2017,8,14,Mon,33,Aug,17-Aug,Q3,2017
8/15/2017,8,15,Tue,33,Aug,17-Aug,Q3,2017
8/16/2017,8,16,Wed,33,Aug,17-Aug,Q3,2017
8/17/2017,8,17,Thu,33,Aug,17-Aug,Q3,2017
8/18/2017,8,18,Fri,33,Aug,17-Aug,Q3,2017
8/19/2017,8,19,Sat,33,Aug,17-Aug,Q3,2017
8/20/2017,8,20,Sun,34,Aug,17-Aug,Q3,2017
8/21/2017,8,21,Mon,34,Aug,17-Aug,Q3,2017
8/22/2017,8,22,Tue,34,Aug,17-Aug,Q3,2017
