id,external_id,name,latitude,longitude
196,3480,WS Don't Use,,
197,3547,Broadway & Moylan Pl,40.814326,-73.959026
198,3191,Union St,40.718211,-74.083639
199,3175,W 70 St & Amsterdam Ave,40.777480,-73.982886
200,3791,Hoboken Ave at Monmouth St,40.735208,-74.046964
201,2006,Central Park S & 6 Ave,40.765909,-73.976342
202,3678,Fairmount Ave,40.725726,-74.071959
203,526,E 33 St & 5 Ave,40.747659,-73.984907
204,386,Centre St & Worth St,40.714948,-74.002345
205,376,John St & William St,40.708621,-74.007222
